Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Голик,Святослав,Іванович,Чоловіча,2008-05-06,Дизайнер,селище Малин,"набережна Павлова, буд. 10 кв. 9, Чортків, 18997",011 038-00-09,bohuslav90@example.net
Даниленко,Ростислав,Юрійович,Чоловіча,1939-01-13,Підприємець,хутір Тисмениця,"сквер Короленка, буд. 6 кв. 82, Чоп, 64755",+380 48 646-95-35,borysderkach@example.net
Заїка,Олександр,Олександрович,Чоловіча,1970-09-07,Програміст,хутір Петрово-Красносілля,"парк Львівська, буд. 5, Оріхів, 65003",373 00 25,anastasiiaieremenko@example.com
Твердохліб,Демид,Андрійович,Чоловіча,1989-09-12,Стиліст,хутір Коломия,"узвіз Стєклова, буд. 70, Антрацит , 99308",+380 (78) 333-20-54,hodunokzorian@example.org
Чубай,Вадим,Іванович,Чоловіча,1978-07-01,Краєзнавець,селище Славута,"вулиця Локомотивний 4-й, буд. 685 кв. 48, Миколаївка , 59157",016 365-50-69,liudmylababak@example.org
Сацюк,Юстим,Андрійович,Чоловіча,1942-03-21,Диригент,місто Теплодар,"вулиця Аркадійська, буд. 55, Виноградів, 17276",+380 00 963-20-40,savenkoada@example.com
Христенко,Охрім,Анатолійович,Чоловіча,1983-11-30,Професор,селище Костянтинівка,"набережна Волниста, буд. 281 кв. 638, Сніжне, 69880",081 586-51-93,huziipavlo@example.com
Чаленко,Климент,Володимирович,Чоловіча,1997-04-06,Нотаріус,місто Південне ,"узвіз Аеропортівський 3-й, буд. 27, Зеленодольськ, 08377",776-61-35,boryslav85@example.org
Бевз,Симон,Володимирович,Чоловіча,2002-08-10,Круп'є,хутір Вараш,"площа Василя Симоненка, буд. 140 кв. 3, Євпаторія, 48484",+380 (52) 057-23-96,onishchukalbina@example.org
Бабак,Микита,Іванович,Чоловіча,1993-08-31,Археолог,селище Очаків,"сквер Заводська, буд. 843, Пологи , 73775",096 188-44-48,makarbandera@example.org
Вовк,Нестор,Олександрович,Чоловіча,1939-02-06,Пекар,місто Токмак,"проспект Небесної Сотні, буд. 71 кв. 06, Великі Мости, 66902",946 88 34,hierchenko@example.org
Чарниш,Артем,Юрійович,Чоловіча,2001-12-09,Художник,село Родинське,"узвіз Наявний 4-й, буд. 271 кв. 4, Балаклія, 85996",+380 87 915-58-91,lisaievych@example.net
Остапчук,Стефан,Андрійович,Чоловіча,1966-12-10,Дантист,місто Суми,"сквер Кифоренка Бориса, буд. 0 кв. 353, Борзна, 05528",254-93-21,viktoriia18@example.com
Цимбалюк,Вадим,Іванович,Чоловіча,1951-12-07,Програміст,селище Гола Пристань,"парк Глухий міст, буд. 6 кв. 87, Соснівка , 07214",+380 19 126-50-35,leonid73@example.com
Дараган,Павло,Юрійович,Чоловіча,1946-06-27,Намотувальник,місто Ладижин,"шосе Леха Качинського, буд. 143 кв. 117, Комарно, 16738",058 784-07-09,aaron72@example.com
Павленко,Феофан,Сергійович,Чоловіча,1975-11-21,Астрофізик,місто Погребище,"набережна Юрія Яновського, буд. 7, Бар, 81604",632-60-63,wandrusenko@example.com
Христич,Симон,Михайлович,Чоловіча,1954-12-02,Режисер,хутір Винники,"парк Кострова, буд. 3 кв. 35, Білозерське, 85360",438 86 18,myroniakovenko@example.org
Стець,Станіслав,Олександрович,Чоловіча,1980-01-21,Ґрунтознавець,місто Шостка,"проспект Північна, буд. 986 кв. 841, Кремінна, 21975",+380 (49) 854-67-86,milena04@example.org
Карпа,Юхим,Юрійович,Чоловіча,1948-02-05,Шериф,селище Кіцмань,"сквер Косовська, буд. 37 кв. 123, Хуст, 51015",065 251 23 79,venedykt44@example.net
Джунь,Ростислав,Михайлович,Чоловіча,1990-10-24,Педагог,селище Коростишів,"узвіз Гілельса, буд. 589 кв. 15, Вознесенськ, 07464",039-89-03,alinaartym@example.net
Іваненко,Опанас,Сергійович,Чоловіча,1977-05-29,Юрист,хутір Верхньодніпровськ,"парк Сурикова 1-й, буд. 7 кв. 634, Угнів, 18339",889-41-86,azarhres@example.com
Александренко,Нестор,Анатолійович,Чоловіча,1959-02-16,Сценарист,село Ковель,"провулок Тетяни Тесс, буд. 81, Снігурівка, 10392",531-67-36,opanasderehus@example.com
Івасюк,Святослав,Павлович,Чоловіча,1983-03-06,Гінеколог,місто Сновськ,"площа Крутоярська, буд. 2 кв. 2, Вуглегірськ, 45363",+380 89 396-87-33,derehusheorhii@example.net
Ярош,Богдан,Сергійович,Чоловіча,1950-10-08,Актор,село Ржищів,"набережна Станційна 1-ша, буд. 88 кв. 1, Кілія, 19435",+380 46 649 56 85,eandriishyn@example.com
Ткач,Симон,Павлович,Чоловіча,1975-04-16,Мікробіолог,селище Мостиська,"набережна Траса Здоров'я, буд. 5 кв. 4, Скадовськ, 14944",024 530-91-29,shapovallukian@example.com
Акименко,Дмитро,Сергійович,Чоловіча,1965-05-27,Зоолог,місто Золотоноша,"вулиця Трудова, буд. 48, Єнакієве, 18856",511-68-00,halynailienko@example.net
Кармалюк,Мирослав,Михайлович,Чоловіча,1960-12-22,Лікар,хутір Ясинувата,"парк Діхтієвського Віктора, буд. 6, Родинське, 43363",+380 30 184 24 98,spas95@example.com
Хмара,Опанас,Іванович,Чоловіча,1975-12-05,Підприємець,місто Вознесенськ,"узвіз Ангарська, буд. 063 кв. 8, Решетилівка, 72444",+380 24 845-02-71,somkoillia@example.net
Дейнека,Трохим,Михайлович,Чоловіча,2008-07-09,Гірник,хутір Дергачі,"сквер Міцкевича, буд. 0, Заводське, 67592",+380 26 201 91 10,davymukatrokhym@example.net
Гайдабура,Федір,Андрійович,Чоловіча,1969-01-21,Кінорежисер,селище Лозова ,"сквер Пересипська 8-ма, буд. 67 кв. 61, Торецьк, 69964",+380 29 330 33 37,hkarpa@example.com
Штепа,Аврелій,Юрійович,Чоловіча,2007-01-31,Фрілансер,місто Шепетівка,"парк Миколи Гумільова, буд. 8 кв. 795, Черкаси, 68988",+380 00 224 43 61,amaliia55@example.net
Худяк,Варфоломій,Михайлович,Чоловіча,2000-03-21,Промисловець,село Прилуки,"набережна Сєрова, буд. 3, Калинівка , 63442",031 051-31-47,ihorfranko@example.com
Байрак,Борис,Сергійович,Чоловіча,1942-11-06,Музикознавець,село Шаргород,"шосе Мелітопольська, буд. 1, Верхівцеве, 23095",861 34 44,samoilenkoarsen@example.org
Базавлученко,Мирослав,Андрійович,Чоловіча,1951-07-23,Складальник,селище Севастополь,"площа Безіменний, буд. 13, Вишневе , 28998",080-76-72,hlib23@example.com
Цюпа,Степан,Андрійович,Чоловіча,1997-08-15,Мінералог,хутір Ланівці,"набережна Лїнія 1-ша, буд. 130 кв. 57, Родинське, 98719",058 409-62-50,kolodubliliia@example.net
Нестайко,Лесь,Олександрович,Чоловіча,1980-09-28,Паралегал,місто Хирів,"провулок Кутузова, буд. 7, Світловодськ, 90389",+380 61 060 58 57,gnikoliuk@example.org
Єрмоленко,Мирон,Анатолійович,Чоловіча,2002-05-02,Кінокритик,село Запоріжжя,"узвіз Михайла Грушевського, буд. 6, Очаків, 13966",+380 (75) 220-46-19,qieresko@example.org
Оберемко,Аарон,Володимирович,Чоловіча,1975-01-10,Піаніст,селище Городня,"парк Сумська, буд. 850, Торецьк, 44260",785-29-39,martynhaidai@example.com
Атаманчук,Франц,Андрійович,Чоловіча,1978-04-02,Бібліотекар,селище Радивилів,"шосе Лінія 22-га, буд. 6 кв. 22, Герца, 67962",+380 (71) 810-57-95,opavlyk@example.org
Акуленко,Онисим,Михайлович,Чоловіча,1964-07-10,Мовознавець,хутір Новодружеськ,"провулок Балтський 2-й, буд. 530 кв. 0, Гнівань, 77919",044 158 35 33,iakivsliusar@example.net
Матвієнко,Антон,Юрійович,Чоловіча,1968-02-04,Інженер,село Куп'янськ,"вулиця Амбулаторна, буд. 597 кв. 8, Подільськ, 68961",017 254 22 99,ierchenkovasylyna@example.com
Хомик,Ярослав,Олександрович,Чоловіча,1979-11-26,Співак,місто Брянка,"узвіз Василя Стуса, буд. 93, Глухів, 54648",+380 72 573-82-48,hzubko@example.net
Чекалюк,Петро,Михайлович,Чоловіча,1953-02-07,Соціолог,селище Часів Яр,"провулок Польова, буд. 08 кв. 1, Канів, 03652",057 108-46-29,gvlasiuk@example.net
Цюпа,Василь,Юрійович,Чоловіча,1964-12-01,Дантист,хутір Овруч,"парк Тепла, буд. 4, Городня, 99087",872 69 64,eduard56@example.com
Бевзенко,Олександр,Андрійович,Чоловіча,1973-07-01,Сантехнік,місто Болехів,"сквер Будівельна, буд. 3, Боково-Хрустальне, 42451",+380 88 409-42-27,vostapchuk@example.com
Шморгун,Мирослав,Михайлович,Чоловіча,1987-03-17,Швачка,місто Мала Виска,"площа Проектований 3-й, буд. 60 кв. 35, Ізюм, 72447",+380 (16) 077-30-47,larysa38@example.com
Охріменко,Єфрем,Володимирович,Чоловіча,1978-11-13,Музикант,село Генічеськ,"провулок Гаріна, буд. 35, Енергодар, 15902",057 161 94 36,ttsarenko@example.org
Дутка,Амвросій,Володимирович,Чоловіча,1996-03-03,Геолог,селище Бобровиця,"шосе ім. С.Ю. Вітте, буд. 620, Полтава, 94937",056 787-26-49,dzhunviktor@example.com
Проценко,Тарас,Сергійович,Чоловіча,1947-08-06,Кур'єр,місто Звенигородка,"сквер 10-та Лінія Марії Демченко, буд. 61, Почаїв, 25655",033 397 75 66,dmytro63@example.net
Саченко,Варфоломій,Михайлович,Чоловіча,2000-07-12,Адвокат,хутір Долинська,"площа Тінистий, буд. 58, Узин, 54563",290-46-05,kostiantyn36@example.org
Черінько,Степан,Петрович,Чоловіча,1961-05-10,Лікар,село Нова Каховка,"площа Літня, буд. 230 кв. 7, Часів Яр, 67639",+380 67 888-65-15,prokopovychpetro@example.com
Чорновіл,Гаврило,Петрович,Чоловіча,1944-02-26,Паблік рилейшнз,селище Старий Крим,"вулиця Сінна, буд. 54, Зугрес, 20418",017 349 93 17,khoma94@example.org
Пилипенко,Аарон,Петрович,Чоловіча,1961-03-24,Єгер,село Березань ,"площа Іспанський, буд. 47, Червоносів, 54401",+380 16 842 66 40,halynaatamanchuk@example.org
Баран,Євген,Петрович,Чоловіча,1979-07-02,Ювелір,селище Бердичів,"шосе Марата 2-й, буд. 447, Батурин, 44712",+380 11 749-24-14,terezaduplii@example.org
Кабалюк,Орест,Олександрович,Чоловіча,1983-01-18,Гінеколог,місто Вознесенськ,"узвіз Аеропортівська, буд. 61, Севастополь, 03189",+380 08 727-04-49,ievagalagan@example.net
Чабан,Едуард,Іванович,Чоловіча,1944-03-10,Гірник,село Ямпіль,"парк Дорожня, буд. 506, Галич, 46798",+380 85 018-03-57,tovstukhaprokhir@example.org
Дашкевич,Теодор,Сергійович,Чоловіча,1984-05-15,Астроном,село Світлодарськ,"шосе Північна, буд. 46, Глиняни, 18717",+380 20 149 38 94,avreliiiefymenko@example.com
Артимишин,Едуард,Володимирович,Чоловіча,1995-02-13,Єгер,хутір Молодогвардійськ,"парк Шевченка парк, буд. 9, Корсунь-Шевченківський, 44094",+380 (39) 486-31-97,qzabashta@example.net
Хоменко,Гліб,Володимирович,Чоловіча,1954-07-17,Детектив,місто Сімферополь,"узвіз Куяльницький міст, буд. 07 кв. 93, Тисмениця, 85973",+380 56 013-16-40,qruban@example.org
Ірванець,Костянтин,Андрійович,Чоловіча,1971-01-05,Філолог,місто Теплодар,"площа Аеродромний 2-й, буд. 72 кв. 46, Суми, 80163",477-37-28,hanna52@example.com
Чалий,Валентин,Юрійович,Чоловіча,1962-03-30,Епідеміолог,місто Баранівка,"площа Заводська 5-та, буд. 0, Заставна, 22409",+380 (77) 955-47-90,iashchenkoerika@example.com
Лубенець,Гордій,Павлович,Чоловіча,1949-03-01,Різноробочий,село Луцьк,"проспект Якірний, буд. 3 кв. 204, Ясинувата, 90897",484 55 11,stepan53@example.net
Вишивана,Вʼячеслав,Іванович,Чоловіча,1955-12-22,Стропальник,село Амвросіївка,"парк Поперечний, буд. 03, Євпаторія, 94672",049 300-53-70,skopenkorostyslav@example.net
Гузь,Павло,Володимирович,Чоловіча,1949-08-20,Правник,місто Гайворон,"парк Яхненка Семена, буд. 0, Кам'янець-Подільський, 47499",030 913 40 09,venhrynovychsolomiia@example.com
Конопленко,Леонід,Іванович,Чоловіча,1996-09-27,Будник,хутір Березне,"узвіз Василя Кандинського 3-й, буд. 370, Олешки, 93534",+380 04 928-48-81,watamanchuk@example.com
Бабʼяк,Олесь,Іванович,Чоловіча,1958-07-25,Підприємець,місто Зимогір'я,"площа Трудовий, буд. 5, Євпаторія, 82857",011 147-86-33,ielysaveta01@example.org
Лазаренко,Леопольд,Іванович,Чоловіча,1964-01-30,Ветеринар,місто Кам'янець-Подільський,"узвіз Восьмого березня узвіз, буд. 176, Малин, 77290",+380 90 753 73 09,zhurbaboryslav@example.com
Вдовенко,Степан,Павлович,Чоловіча,1995-05-23,Ботанік,селище Дніпрорудне,"узвіз Любашівський, буд. 82 кв. 6, Мала Виска, 69824",+380 02 644 12 79,kiakovenko@example.net
Сіробаба,Святослав,Сергійович,Чоловіча,1979-02-16,Няня,хутір Географія Вільнянська,"набережна Ланжеронівський узвіз, буд. 953 кв. 79, Макіївка, 20730",398-10-02,zinchenkoles@example.org
Орлик,Руслан,Сергійович,Чоловіча,1972-12-15,Економіст,хутір Сокиряни,"сквер Надіїі, буд. 236 кв. 5, Моспине, 90369",317 08 26,radchenkonataliia@example.com
Шевченко,Орхип,Андрійович,Чоловіча,1996-05-12,Психолог,хутір Самбір,"набережна Маячний, буд. 8 кв. 2, Апостолове, 66792",+380 (45) 690-98-16,tarashabelko@example.net
Корж,Мирослав,Андрійович,Чоловіча,1964-07-14,Астрофізик,місто Олевськ,"парк Жасминна, буд. 00, Лутугине, 20006",+380 (17) 452-28-74,valeriiopanasenko@example.net
Примаченко,Олександр,Петрович,Чоловіча,1964-11-03,Підприємець,селище Буськ,"провулок Олександра Кутузакія, буд. 167, Запоріжжя, 49144",070 956 81 54,oleksandr78@example.net
Ісаєнко,Зиновій,Петрович,Чоловіча,1974-03-04,Архітектор,місто Южноукраїнськ,"парк Уральський, буд. 37, Алупка, 40355",788 39 74,hdashkevych@example.net
Єрошенко,Геннадій,Павлович,Чоловіча,1991-03-22,Графік,селище Новодністровськ,"набережна Хімічний 2-й, буд. 0 кв. 579, Інкерман, 97301",402-97-88,vasylenkoeduard@example.net
Вакуленко,Альберт,Сергійович,Чоловіча,1988-01-18,Підприємець,село Глухів,"узвіз Каретний, буд. 0, Свалява, 25557",181 09 80,bzhalilo@example.org
Рябошапка,Дан,Павлович,Чоловіча,1939-04-28,Конструктор,селище Кам'янське,"парк Лиманна, буд. 823 кв. 712, Підгородне, 42495",+380 02 342-94-55,dankoviktoriia@example.net
Гоголь,Захар,Андрійович,Чоловіча,2001-08-25,Актор,хутір Рудки,"провулок Грибоєдова, буд. 7, Старий Крим, 76628",+380 82 853-04-26,vlasiukerika@example.net
Базавлученко,Стефан,Сергійович,Чоловіча,1948-12-07,Кінолог,село Моспине,"шосе Князівська, буд. 85, Докучаєвськ, 65581",632 41 30,icherinko@example.org
Мазур,Данило,Андрійович,Чоловіча,1964-08-16,Правник,місто Мар'їнка,"вулиця Поперечний, буд. 77 кв. 761, Березань , 52411",868 68 04,valentynabhydenko@example.org
Авраменко,Олександр,Анатолійович,Чоловіча,1954-12-11,М'ясник,хутір Попасна,"сквер Штильова, буд. 139 кв. 7, Білозерське, 22651",049-98-09,jtarasenko@example.com
Барабаш,Єфрем,Володимирович,Чоловіча,1973-11-24,Письменник,село Обухів,"площа Кондрашина, буд. 329, Лозова , 15902",+380 53 942-15-23,allazatovkaniuk@example.com
Гуцуляк,Вʼячеслав,Петрович,Чоловіча,1942-11-02,Клавішник,селище Кілія,"шосе Економічний, буд. 327, Копичинці, 25750",+380 (69) 960-44-58,trokhymaleksandrenko@example.net
Шморгун,Георгій,Сергійович,Чоловіча,1967-10-17,Електротехнік,село Полонне,"сквер Дунайська, буд. 8, Хирів, 80192",+380 68 019-29-01,demian36@example.net
Носаченко,Остап,Володимирович,Чоловіча,1988-08-22,Актор,селище Городище ,"набережна Дворянська, буд. 690 кв. 5, Вашківці, 56594",+380 47 810 95 92,kamillachala@example.net
Верховинець,Семен,Петрович,Чоловіча,1996-09-20,Лікар,селище Хмільник,"проспект Богуна, буд. 9 кв. 5, Жовква, 47115",090 103-46-08,jiarosh@example.net
Ващук,Охрім,Михайлович,Чоловіча,1983-03-11,Різноробочий,селище Новоград-Волинський,"проспект Чайковського, буд. 71, Хоростків, 52711",054 643-93-74,wpalii@example.org
Макогон,Панас,Михайлович,Чоловіча,1977-09-22,Фізик,місто Жмеринка,"проспект Акордна, буд. 86 кв. 65, Камінь-Каширський, 46764",087 182 14 73,psliusar@example.com
Алексеєнко,Соломон,Сергійович,Чоловіча,1953-09-05,Прокурор,селище Щастя ,"сквер Промислова, буд. 528, Пирятин, 68479",900 91 07,davydenkoleonid@example.org
Макогон,Антон,Павлович,Чоловіча,2000-01-23,Гицель,село Василівка ,"парк Пiвденний, буд. 87 кв. 8, Жашків, 94978",062 16 95,iaremastus@example.net
Баранник,Давид,Сергійович,Чоловіча,2006-05-16,Геолог,село Тиврів,"узвіз 12-та Суворовська, буд. 47 кв. 8, Верхівцеве, 81807",008 164 58 63,bebeshkoklavdiia@example.net
Деркач,Микита,Павлович,Чоловіча,1969-09-26,Астроном,місто Олевськ,"площа Дністровська, буд. 427, Кам'янське, 96861",+380 60 218-81-25,demianenkoroksolana@example.net
Вахній,Василь,Андрійович,Чоловіча,1970-03-03,Детектив,місто Керч,"проспект Паустовського, буд. 56, Хорол , 90070",004-99-33,iukhymbatiuk@example.net
Єресько,Стефан,Михайлович,Чоловіча,1971-06-25,Штукатур,селище Липовець,"вулиця Лютневий 1-й, буд. 751 кв. 3, Фастів, 01994",+380 42 216 09 56,iryna58@example.com
Дараган,Гліб,Михайлович,Чоловіча,1997-06-01,Фольклорист,селище Тростянець,"вулиця Розкидайлівська, буд. 79 кв. 14, Радехів, 67287",+380 68 171 26 04,olha06@example.com
Гузь,Болеслав,Анатолійович,Чоловіча,1947-07-03,Гірник,хутір Новий Калинів,"набережна Крижанівський, буд. 103 кв. 156, Хмельницький, 99463",227 58 23,hishchak@example.org
Михайличенко,Демʼян,Сергійович,Чоловіча,1962-03-05,Публіцист,місто Могилів-Подільський,"парк Травневий 2-й, буд. 90 кв. 673, Білгород-Дністровський, 50007",+380 09 735-70-72,tkachenkomaryna@example.net
Гайдамака,Августин,Сергійович,Чоловіча,1977-12-12,Графік,місто Барвінкове,"площа Аеропортівська, буд. 0, Бібрка, 47530",091 099-03-20,esych@example.com
Ярема,Павло,Сергійович,Чоловіча,1987-03-16,Ювелір,місто Святогірськ,"сквер Віри Інбер, буд. 3 кв. 82, Білицьке, 80467",+380 36 084-38-15,ademianchuk@example.net
Коваленко,Віталій,Юрійович,Чоловіча,1974-02-19,Стропальник,місто Кролевець,"набережна Коцебу міст, буд. 67, Рені, 25354",041 022-09-94,chekaliukiakiv@example.org
Яремків,Богдан,Олександрович,Чоловіча,1942-03-26,Зоолог,місто Глобине,"вулиця Сурикова 1-й, буд. 277 кв. 22, Святогірськ, 51988",+380 75 471 67 95,ltsushko@example.org
Макогон,Борислав,Юрійович,Чоловіча,1959-12-12,Державний службовець,місто Гуляйполе,"парк Партизанська, буд. 2, Старий Крим, 67686",033 653 50 15,bohodar20@example.net
Ґалаґан,Зиновій,Іванович,Чоловіча,1941-01-30,Астроном,селище Сіверськ,"площа Аеропортівська, буд. 5 кв. 190, Покров, 95987",090 566-12-47,kyrylo30@example.net
Савенко,Алевтин,Володимирович,Чоловіча,1972-11-05,Парфюмер,селище Пологи ,"площа Рєпіна, буд. 179, Ромни, 25471",+380 29 810-15-94,lukianavramchuk@example.org
Луценко,Леон,Петрович,Чоловіча,1965-01-19,Секретар,хутір Тисмениця,"набережна Водопровідний 2-й, буд. 12, Жидачів, 97564",831-87-49,iustynashynkarenko@example.org
Луценко,Григорій,Анатолійович,Чоловіча,1964-06-23,Музичний редактор,місто Василівка ,"вулиця Ямчитського, буд. 132, Сквира, 41762",034 330-21-17,parmen73@example.org
Чабан,Станіслав,Андрійович,Чоловіча,1957-07-31,Письменник,місто Першотравенськ,"набережна Осипова, буд. 257 кв. 1, Здолбунів, 43089",+380 18 949-65-35,fivanchenko@example.org
Єсипенко,Ярослав,Сергійович,Чоловіча,1980-12-01,Юрист,місто Бердянськ,"шосе Вишнева, буд. 6 кв. 2, Бахмач, 96881",066 325-79-23,trokhym96@example.net
Макаренко,Гордій,Володимирович,Чоловіча,1962-04-27,Кінорежисер,місто Добропілля,"проспект Ільфа і Петрова, буд. 07 кв. 3, Бобровиця, 03572",796 50 25,gshvachka@example.com
Конопленко,Михайло,Петрович,Чоловіча,1959-01-18,Парфюмер,хутір Верхньодніпровськ,"вулиця Новикова, буд. 76 кв. 87, Олешки, 25737",+380 (94) 315-57-43,snizhanaiaremchuk@example.org
Скоробогатько,Владислав,Сергійович,Чоловіча,1993-05-06,Письменник,хутір Арциз,"узвіз Улітіна, буд. 01 кв. 31, Голубівка, 03024",041 660-12-49,dansliusar@example.org
Сіробаба,Алевтин,Михайлович,Чоловіча,1950-04-05,Кінолог,хутір Шумськ,"парк 7-ма Суворовська, буд. 47, Пологи , 98631",003 452 91 80,tbaranyk@example.com
Вертипорох,Ярослав,Сергійович,Чоловіча,1995-04-30,Прокурор,селище Зборів,"набережна Лиманчик 2-й Лінія 2-га, буд. 1 кв. 48, Богуслав, 28207",+380 11 205 62 74,milena87@example.com
Цимбал,Демид,Анатолійович,Чоловіча,1943-01-22,Стоматолог,місто Куп'янськ,"провулок Весела, буд. 405, Ясинувата, 49304",+380 19 034 53 96,zaietsmakar@example.net
Малишко,Ярема,Сергійович,Чоловіча,1969-10-08,Фармацевт,хутір Балта,"провулок Путьова, буд. 37 кв. 652, Хрестівка, 54438",+380 (43) 711-50-41,vanchenkoaaron@example.net
Гуцуляк,Ілля,Володимирович,Чоловіча,1994-09-30,Живописець,хутір Бровари,"проспект Рожева, буд. 5 кв. 0, Новояворівськ, 06228",589 95 03,maksymbarabash@example.net
Хмара,Іван,Михайлович,Чоловіча,1978-03-06,Вчитель,селище Ялта,"парк Ланжеронівська, буд. 627, Тальне, 17769",+380 18 392 84 35,valentynadrobiazko@example.net
Франчук,Гліб,Олександрович,Чоловіча,1991-09-01,Археолог,місто Антрацит ,"провулок Астрономічна, буд. 7, Ладижин, 08758",100 48 75,liashkotaras@example.net
Юрчишин,Венедикт,Петрович,Чоловіча,1993-05-11,Антрополог,хутір Кипуче,"сквер Миколи Плигуна, буд. 835 кв. 2, Новояворівськ, 12869",885-06-10,nesterenkobohuslava@example.com
Корбут,Пилип,Володимирович,Чоловіча,1974-11-10,Актор,село Ірміно,"узвіз Професора Коровицького, буд. 004 кв. 62, Суми, 78938",289-24-42,aaronisaievych@example.com
Ляшко,Назар,Андрійович,Чоловіча,1955-04-19,Слідчий,хутір Бобровиця,"узвіз Лінія 37-ма, буд. 340, Зборів, 71897",041 671-43-21,azar32@example.com
